Paired_ID	Meta_ID	Sample_type	Sample_type_QC	Experimental_batch	Year	type_year
2486136216-1	X103	Maternal blood	Samples	1	15	Maternal blood_15
6190594856-1	X1030	Cord blood	Samples	1	17	Cord blood_17
3118762594-1	X104	Maternal blood	Samples	2	15	Maternal blood_15
3136241884-1	X105	Maternal blood	Samples	2	15	Maternal blood_15
1648835037-1	X106	Maternal blood	Samples	2	15	Maternal blood_15
1376048681-1	X107	Maternal blood	Samples	2	15	Maternal blood_15
9554287730-1	X108	Maternal blood	Samples	1	15	Maternal blood_15
8260687137-1	X109	Maternal blood	Samples	1	15	Maternal blood_15
5536546663-1	X11	Maternal blood	Samples	2	15	Maternal blood_15
9302592137-1	X110	Maternal blood	Samples	2	15	Maternal blood_15
4383221023-1	X111	Maternal blood	Samples	1	15	Maternal blood_15
9125253562-1	X112	Maternal blood	Samples	2	15	Maternal blood_15
9432683889-1	X113	Maternal blood	Samples	1	15	Maternal blood_15
6214384192-1	X114	Maternal blood	Samples	1	15	Maternal blood_15
1159296217-1	X115	Maternal blood	Samples	1	15	Maternal blood_15
4512489645-1	X116	Maternal blood	Samples	2	15	Maternal blood_15
3319289131-1	X117	Maternal blood	Samples	1	15	Maternal blood_15
5022493612-1	X118	Maternal blood	Samples	1	15	Maternal blood_15
9078319314-1	X119	Maternal blood	Samples	1	15	Maternal blood_15
4598554957-1	X12	Maternal blood	Samples	2	15	Maternal blood_15
8481161039-1	X120	Maternal blood	Samples	2	15	Maternal blood_15
4335540646-1	X121	Maternal blood	Samples	1	15	Maternal blood_15
7901957937-1	X122	Maternal blood	Samples	1	15	Maternal blood_15
234795394-1	X123	Maternal blood	Samples	1	15	Maternal blood_15
1799127451-1	X124	Maternal blood	Samples	2	15	Maternal blood_15
305720726-1	X125	Maternal blood	Samples	2	15	Maternal blood_15
5735388028-1	X126	Maternal blood	Samples	1	15	Maternal blood_15
6484924404-1	X127	Maternal blood	Samples	1	15	Maternal blood_15
8679497083-1	X128	Maternal blood	Samples	1	15	Maternal blood_15
3576835265-1	X129	Maternal blood	Samples	1	15	Maternal blood_15
5528381814-1	X13	Maternal blood	Samples	2	15	Maternal blood_15
2766572308-1	X130	Maternal blood	Samples	2	15	Maternal blood_15
957582272-1	X131	Maternal blood	Samples	2	15	Maternal blood_15
4109334910-1	X132	Maternal blood	Samples	2	15	Maternal blood_15
2418955374-1	X133	Maternal blood	Samples	1	15	Maternal blood_15
5240158757-1	X134	Maternal blood	Samples	2	15	Maternal blood_15
9451569099-1	X135	Maternal blood	Samples	2	15	Maternal blood_15
656640255-1	X136	Maternal blood	Samples	2	15	Maternal blood_15
3594236282-1	X137	Maternal blood	Samples	1	15	Maternal blood_15
7722385673-1	X138	Maternal blood	Samples	1	15	Maternal blood_15
3642522307-1	X139	Maternal blood	Samples	1	15	Maternal blood_15
1729806098-1	X14	Maternal blood	Samples	2	15	Maternal blood_15
4989865932-1	X140	Maternal blood	Samples	2	15	Maternal blood_15
5387061766-1	X141	Maternal blood	Samples	2	15	Maternal blood_15
5726122104-1	X142	Maternal blood	Samples	1	15	Maternal blood_15
2788467473-1	X143	Maternal blood	Samples	2	15	Maternal blood_15
1779859835-1	X144	Maternal blood	Samples	1	15	Maternal blood_15
1797209694-1	X145	Maternal blood	Samples	1	15	Maternal blood_15
3632705134-1	X146	Maternal blood	Samples	1	15	Maternal blood_15
2310613325-1	X147	Maternal blood	Samples	1	15	Maternal blood_15
6025270617-1	X148	Maternal blood	Samples	2	15	Maternal blood_15
6927363400-1	X149	Maternal blood	Samples	1	15	Maternal blood_15
8613482713-1	X15	Maternal blood	Samples	1	15	Maternal blood_15
8717468454-1	X150	Maternal blood	Samples	2	15	Maternal blood_15
2620317536-1	X151	Maternal blood	Samples	2	15	Maternal blood_15
5352692853-1	X152	Maternal blood	Samples	1	15	Maternal blood_15
